Name	GND
Balckevon Enckevort Johanna	kein Eintrag von api gefunden
Baldauf Grete	1014859824
Baldegg Hartmann	116270500
Balder Armin	kein Eintrag von api gefunden
Balder Erwin	140910778
Ballestrem Eufemia	https://d-nb.info/gnd/116008512	https://d-nb.info/gnd/1238735339
Balmer Hans Friedrich	kein Eintrag von api gefunden
Baltz Johanna	https://d-nb.info/gnd/116046554	https://d-nb.info/gnd/104215628X
Baltzer Wilhelm Eduard	116046589
Baltzer Friedrich	https://d-nb.info/gnd/117765813	https://d-nb.info/gnd/1036245756	https://d-nb.info/gnd/116046589
Baltzer Jeannette	117765872
Bamberger Georg	https://d-nb.info/gnd/117766046	https://d-nb.info/gnd/1146824866
Bames Karl	kein Eintrag von api gefunden
Bamme Julius	117766135
Bancels Marie Luise	116047836
Banck Otto Alexander	116047860
Band Moriz	116047933
Band Viktor	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bandlin Johann Baptist	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bandlow Heinrich	116048417
Bannenberg Ferdinand	kein Eintrag von api gefunden
Bänninger J. J	126159602
Banspach Andreas	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Baer Berthold A	https://d-nb.info/gnd/116034696	https://d-nb.info/gnd/116907940
Baer Jda	kein Eintrag von api gefunden
Baer	https://d-nb.info/gnd/1165897008	https://d-nb.info/gnd/1057717878
Bär Michel	https://d-nb.info/gnd/125992939	https://d-nb.info/gnd/111256976	https://d-nb.info/gnd/1145360424	https://d-nb.info/gnd/118849301	https://d-nb.info/gnd/171927265	https://d-nb.info/gnd/1169941915
Baer Oswald	117534978
Baer Salomon	1189757613
Barach Moritz	https://d-nb.info/gnd/116106166	https://d-nb.info/gnd/1222307839	https://d-nb.info/gnd/1284922855
Barach Rosa	117766429
Barack Max	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Baranowsky Karl Ernst	1036249069
Barazetti Sophie	116050411
Barber Emil	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Barber Jda	kein Eintrag von api gefunden
Bardach Rachel	https://d-nb.info/gnd/1049161181	https://d-nb.info/gnd/1177934833
Bardas Walther	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bardenhewer Hugo	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bardey Franz Martin Christian Johann	117766968
Bardi Rachel	https://d-nb.info/gnd/1177934833	https://d-nb.info/gnd/1049161181
Barfus Eginhard	116056606
Bargen H. N.	kein Eintrag von api gefunden
Bargmann Bernhard Alex ander	kein Eintrag von api gefunden
Baring Natalie	117767115
Barinkay S	1174765534
Barndt Jsidor	kein Eintrag von api gefunden
Barnickel Heinrich Karl Theodor	119526018
Baron Emma	https://d-nb.info/gnd/1167739094	https://d-nb.info/gnd/1213547652	https://d-nb.info/gnd/107653206	https://d-nb.info/gnd/141382643
Baroncz Raphael	kein Eintrag von api gefunden
Barre Ernst	117767301
Barsch Paul	https://d-nb.info/gnd/116062150	https://d-nb.info/gnd/116062169	https://d-nb.info/gnd/117767387
Barsch Hedwig	https://d-nb.info/gnd/117767387	https://d-nb.info/gnd/116062150
