Name	GND
Bloch Mathilde	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Blöde Marie	116203838
Blok Therese	kein Eintrag von api gefunden
Blomberg Anna	104853581
Blondein Karoline	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Blücher Luise	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Blümmer Minna	kein Eintrag von api gefunden
Bluhm Agnes	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Blum Anna	https://d-nb.info/gnd/116206500	https://d-nb.info/gnd/117627720	https://d-nb.info/gnd/1012415465
Blum Helene	https://d-nb.info/gnd/11620740X	https://d-nb.info/gnd/1190105446	https://d-nb.info/gnd/1143996534
Blum Ida	https://d-nb.info/gnd/1090907885	https://d-nb.info/gnd/116900016	https://d-nb.info/gnd/1205623760
Blum Lodoiska	117758973
Blumberg Malwina Amalie	kein Eintrag von api gefunden
Blumenau Klara	kein Eintrag von api gefunden
Blumenfeld Agnes	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Blumenreich Franziska	116045469
Bobertag Bianca	117732486
Bobertag Elisabeth	116211776
Bock Annie	116983213
Bock Henriette	https://d-nb.info/gnd/1123171327	https://d-nb.info/gnd/116798580
Boddaert Marie	171981804
Bodek-Ellgau Marie	1159074887
Bodin Camilla	kein Eintrag von api gefunden
Bodisco Theophila	kein Eintrag von api gefunden
Böck J	1145705537
Böckel Marie	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Böhlau Helene	https://d-nb.info/gnd/118878484	https://d-nb.info/gnd/1063352029
Böhm Antonie	1033382078
Böhm Hanna	https://d-nb.info/gnd/116162937	https://d-nb.info/gnd/1243981148
Böhme-Köhler Auguste	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Boenfoe Caroline	kein Eintrag von api gefunden
Böttcher Charlotte	116225904
