,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
243,"Arndt, Fanny",Arndt Fanny,Arndt,Fanny,.
244,"Arndt, Ferdinand Valentin",Arndt Ferdinand Valentin,Arndt,Ferdinand Valentin,3. April 1808
245,"Arndt, Richard",Arndt Richard,Arndt,Richard,7. Febr.1877
246,"Arndts, Bertha",Arndts Bertha,Arndts,Bertha,9. Dezbr.1809
247,"Arndts, Maria",Arndts Maria,Arndts,Maria,5. April 1823
248,"Arnefeldt, Fritz",Arnefeldt Fritz,Arnefeldt,Fritz,.
249,"Arnemann, Alfred",Arnemann Alfred,Arnemann,Alfred,15.Dezbr. 1835
250,"Arnet, Thaddäus",Arnet Thaddäus,Arnet,Thaddäus,.
251,"Arnim, Gisela von",Arnim Gisela,Arnim,Gisela,.
252,"Arnim, Karoline Gräfin von",Arnim Karoline,Arnim,Karoline,31. März 1851
253,"Arnim-Fredenwalde, Eva v",Arnim-Fredenwalde Eva,Arnim-Fredenwalde,Eva,17. Septbr. 1869
254,"Arno, Alex",Arno Alex,Arno,Alex,.
255,"Arno, Hermann",Arno Hermann,Arno,Hermann,.
256,"Arno, Karl",Arno Karl,Arno,Karl,.
257,"Arnold, Franz",Arnold Franz,Arnold,Franz,.
258,"Arnold, Hans",Arnold Hans,Arnold,Hans,.
259,"Arnswaldt, Karl von",Arnswaldt Karl,Arnswaldt,Karl,4. Novbr. 1869
260,"Artaria, R., Pseud",Artaria R.,Artaria,R.,.
261,"Arter, Emil",Arter Emil,Arter,Emil,.
262,Arthalis,Arthalis,Arthalis,,.
263,"Arthur, Johannes",Arthur Johannes,Arthur,Johannes,.
264,"Artl, Heinrich Stanislaus",Artl Heinrich Stanislaus,Artl,Heinrich Stanislaus,13. Novbr. 1853
265,"Artopé, Theodor",Artopé Theodor,Artopé,Theodor,20. Dezember1852
266,"Arwed, Ernst",Arwed Ernst,Arwed,Ernst,.
267,"Arx, Adrian",Arx Adrian,Arx,Adrian,28. Febr.1817
268,"Arz, Gustav",Arz Gustav,Arz,Gustav,15. Nov.1864
269,"Ascharin, Andreas",Ascharin Andreas,Ascharin,Andreas, Juni 1843
270,"Aschenbach, Hanna",Aschenbach Hanna,Aschenbach,Hanna,.
271,"Aschenberg, Th. von",Aschenberg Th.,Aschenberg,Th.,.
272,"Ascheraden, M. von",Ascheraden M.,Ascheraden,M.,.
